,year,epiweek,geo_code,hhs,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
1284,2018,13,MN,5,4.0,0.13,6.09,2.51,4.64,5.36,3.18,5.05,0.78,1.43,1.77,0.28,0.23,0.48
1285,2018,14,MN,5,3.88,0.14,5.95,2.42,4.72,5.62,3.21,5.16,0.74,1.42,1.82,0.28,0.23,0.46
1286,2018,15,MN,5,3.78,0.12,5.58,2.37,4.64,5.33,3.08,4.93,0.7,1.38,1.81,0.28,0.21,0.51
1287,2018,16,MN,5,3.71,0.12,5.34,2.27,4.67,5.47,2.97,5.04,0.75,1.41,1.84,0.26,0.2,0.48
1288,2018,17,MN,5,3.82,0.12,5.27,2.31,4.38,5.62,2.96,4.9,0.72,1.27,1.71,0.28,0.21,0.49
1289,2018,18,MN,5,3.65,0.12,5.15,2.24,4.25,5.29,2.92,4.88,0.75,1.26,1.75,0.26,0.21,0.47
1290,2018,19,MN,5,3.42,0.12,5.0,2.14,4.11,5.38,2.84,4.84,0.73,1.21,1.71,0.27,0.2,0.45
1291,2018,20,MN,5,3.54,0.1,4.83,2.2,4.21,5.21,2.81,4.74,0.66,1.53,1.67,0.23,0.18,0.45
1292,2018,21,MN,5,3.37,0.1,4.69,2.19,4.11,5.1,2.74,4.71,0.66,1.16,1.67,0.27,0.21,0.45
1293,2018,22,MN,5,3.18,0.1,4.5,2.02,4.02,4.98,2.77,4.72,0.68,1.22,1.69,0.24,0.2,0.47
1294,2018,23,MN,5,3.13,0.09,4.34,2.04,4.15,5.29,2.74,4.75,0.69,1.25,1.76,0.27,0.18,0.48
1295,2018,24,MN,5,3.2,0.08,4.16,1.95,4.34,5.1,2.83,5.3,0.67,1.26,1.85,0.29,0.19,0.46
1296,2018,25,MN,5,3.27,0.1,3.97,1.97,4.34,5.23,2.8,4.87,0.66,1.29,1.84,0.26,0.2,0.45
1297,2018,26,MN,5,3.53,0.11,3.76,1.97,4.43,5.16,2.77,4.84,0.65,1.28,1.9,0.26,0.2,0.45
1298,2018,27,MN,5,3.48,0.1,3.67,1.94,4.34,5.1,2.84,5.12,0.62,1.25,1.9,0.24,0.21,0.43
1299,2018,28,MN,5,3.76,0.1,3.63,1.91,4.58,5.2,2.77,5.29,0.64,1.29,1.85,0.24,0.2,0.46
1300,2018,29,MN,5,3.52,0.1,3.62,1.96,4.53,5.31,2.73,5.21,0.63,1.25,1.84,0.23,0.21,0.47
1301,2018,30,MN,5,3.54,0.12,3.64,1.95,4.53,5.31,2.78,5.63,0.65,1.31,1.93,0.24,0.21,0.48
1302,2018,31,MN,5,3.29,0.11,3.69,1.88,4.56,5.12,2.73,5.62,0.65,1.28,1.86,0.25,0.2,0.46
1303,2018,32,MN,5,3.49,0.1,3.87,1.91,4.58,5.23,2.74,4.99,0.66,1.28,1.84,0.27,0.2,0.44
1304,2018,33,MN,5,3.3,0.1,3.96,1.86,4.61,5.3,2.68,4.8,0.65,1.33,1.86,0.24,0.2,0.44
1305,2018,34,MN,5,3.12,0.11,4.08,1.85,4.51,5.08,2.63,4.53,0.66,1.29,1.82,0.23,0.19,0.41
1306,2018,35,MN,5,3.11,0.1,4.26,1.89,4.43,4.87,2.61,4.36,0.65,1.3,1.78,0.23,0.22,0.39
1307,2018,36,MN,5,3.34,0.12,4.68,2.02,4.27,5.0,2.52,4.34,0.69,1.26,1.66,0.29,0.2,0.41
1308,2018,37,MN,5,3.66,0.11,5.4,2.33,4.45,5.19,2.68,4.39,0.77,1.32,1.71,0.31,0.18,0.46
1309,2018,38,MN,5,3.64,0.12,5.91,2.34,4.48,4.99,2.58,4.19,0.74,1.3,1.66,0.3,0.19,0.45
1310,2018,39,MN,5,3.71,0.12,6.86,2.37,4.47,5.02,2.65,4.16,0.76,1.34,1.66,0.29,0.21,0.45
1311,2018,40,MN,5,3.68,0.13,6.57,2.34,4.42,5.13,2.64,4.17,0.75,1.36,1.66,0.28,0.21,0.47
1312,2018,41,MN,5,3.8,0.12,6.66,2.49,4.51,5.17,2.74,4.18,0.74,1.4,1.7,0.27,0.22,0.47
1313,2018,42,MN,5,3.75,0.12,7.01,2.55,4.67,5.6,2.84,4.38,0.77,1.41,1.78,0.27,0.21,0.49
1314,2018,43,MN,5,3.93,0.12,6.94,2.45,4.75,5.51,2.98,4.37,0.75,1.43,1.74,0.33,0.24,0.48
1315,2018,44,MN,5,3.71,0.12,6.74,2.54,4.65,5.31,2.97,4.33,0.74,1.42,1.71,0.31,0.22,0.48
1316,2018,45,MN,5,3.68,0.11,7.08,2.56,4.5,5.1,3.04,4.35,0.71,1.35,1.64,0.31,0.22,0.44
1317,2018,46,MN,5,3.93,0.12,7.19,2.63,4.58,5.14,3.54,4.89,0.71,1.38,1.74,0.3,0.22,0.45
1318,2018,47,MN,5,4.03,0.13,7.11,2.65,4.23,4.79,3.51,5.26,0.73,1.44,1.6,0.27,0.21,0.41
1319,2018,48,MN,5,4.25,0.14,7.36,2.73,4.71,5.21,3.65,5.15,0.76,1.42,1.75,0.29,0.24,0.43
1320,2018,49,MN,5,4.27,0.14,7.62,2.7,4.69,5.27,3.8,5.18,0.73,1.39,1.71,0.29,0.23,0.47
1321,2018,50,MN,5,4.36,0.14,7.52,2.8,4.6,5.3,4.26,5.47,0.74,1.41,1.75,0.26,0.23,0.44
1322,2018,51,MN,5,4.57,0.15,8.01,2.99,4.46,4.94,4.36,5.75,0.72,1.42,1.69,0.25,0.22,0.41
1323,2018,52,MN,5,4.83,0.15,9.26,3.31,4.64,4.71,5.24,6.4,0.73,1.49,1.67,0.24,0.19,0.37
1324,2019,1,MN,5,4.72,0.15,8.97,3.15,5.0,5.38,4.65,6.14,0.79,1.68,1.86,0.26,0.21,0.4
1325,2018,1,MS,4,6.39,0.24,15.17,3.77,5.43,5.99,4.09,4.97,0.81,1.78,1.66,0.26,0.22,0.46
1326,2018,2,MS,4,6.53,0.29,15.08,3.44,5.41,6.6,4.0,4.8,0.97,1.96,1.78,0.23,0.2,0.48
1327,2018,3,MS,4,6.26,0.28,13.76,3.29,5.55,6.33,3.83,4.63,0.93,1.89,1.74,0.27,0.26,0.48
1328,2018,4,MS,4,6.73,0.27,14.02,3.24,5.36,7.09,4.07,4.9,1.08,2.05,1.76,0.27,0.27,0.56
1329,2018,5,MS,4,7.21,0.29,14.27,3.49,5.32,7.08,4.27,5.01,1.01,2.02,1.75,0.28,0.26,0.54
1330,2018,6,MS,4,7.02,0.32,13.85,3.75,5.15,6.82,4.57,5.24,1.02,2.08,1.84,0.33,0.3,0.49
1331,2018,7,MS,4,5.96,0.29,11.63,3.45,5.13,6.42,3.98,4.71,0.96,1.94,1.82,0.31,0.23,0.56
1332,2018,8,MS,4,4.67,0.21,8.86,2.92,5.12,6.01,3.44,4.44,1.0,1.84,1.8,0.31,0.22,0.53
1333,2018,9,MS,4,3.93,0.17,7.62,2.73,5.2,5.91,3.29,4.44,0.8,1.87,1.88,0.31,0.28,0.56
1334,2018,10,MS,4,3.87,0.12,7.18,2.83,4.7,5.76,3.2,4.39,0.89,1.69,1.68,0.32,0.21,0.49
1335,2018,11,MS,4,3.53,0.13,7.24,2.57,5.0,5.9,3.32,4.43,0.85,1.76,1.85,0.26,0.25,0.52
1336,2018,12,MS,4,3.54,0.13,6.64,2.53,5.03,5.94,3.39,4.5,0.95,1.67,1.84,0.27,0.21,0.6
1337,2018,13,MS,4,3.57,0.11,6.27,2.47,4.65,5.81,3.25,4.5,0.91,1.76,1.66,0.28,0.3,0.52
1338,2018,14,MS,4,3.77,0.1,6.5,2.55,4.97,5.95,3.32,4.55,0.87,1.83,1.75,0.28,0.3,0.54
1339,2018,15,MS,4,3.77,0.12,6.93,2.58,5.05,5.82,3.26,4.55,0.91,1.75,1.81,0.29,0.26,0.57
1340,2018,16,MS,4,3.66,0.1,6.36,2.61,5.07,5.8,3.28,4.86,0.91,1.73,1.77,0.31,0.23,0.53
1341,2018,17,MS,4,3.58,0.14,6.29,2.62,5.08,5.96,3.27,4.78,0.92,1.82,1.79,0.29,0.25,0.56
1342,2018,18,MS,4,3.58,0.13,5.85,2.54,4.92,5.63,3.21,4.6,0.82,1.68,1.8,0.3,0.32,0.57
1343,2018,19,MS,4,3.44,0.1,5.69,2.37,4.93,5.71,3.1,4.62,0.81,1.64,1.85,0.3,0.23,0.58
1344,2018,20,MS,4,3.77,0.16,5.36,2.28,4.94,5.59,3.17,4.69,0.78,2.04,1.75,0.24,0.24,0.55
1345,2018,21,MS,4,3.4,0.13,5.32,2.16,4.94,5.56,3.26,4.86,0.81,1.55,1.79,0.26,0.21,0.53
1346,2018,22,MS,4,3.6,0.13,5.07,2.23,5.13,5.94,3.49,5.11,0.83,1.72,1.9,0.23,0.22,0.52
1347,2018,23,MS,4,3.61,0.11,4.79,2.08,5.26,6.08,3.35,5.15,0.81,1.77,1.93,0.29,0.2,0.54
1348,2018,24,MS,4,3.52,0.12,4.61,2.0,5.33,5.91,3.38,5.17,0.82,1.72,1.97,0.34,0.22,0.55
1349,2018,25,MS,4,3.48,0.09,4.38,2.01,5.4,6.14,3.48,5.05,0.86,1.75,1.91,0.28,0.27,0.58
1350,2018,26,MS,4,3.61,0.11,4.24,2.01,5.67,6.05,3.56,5.26,0.82,1.73,2.14,0.29,0.28,0.58
1351,2018,27,MS,4,3.5,0.09,4.13,1.91,5.43,5.91,3.42,5.33,0.9,1.82,1.95,0.23,0.22,0.53
1352,2018,28,MS,4,3.43,0.06,4.15,1.87,5.88,6.25,3.48,5.59,0.81,1.86,2.1,0.32,0.26,0.54
1353,2018,29,MS,4,3.39,0.13,4.17,1.92,5.6,6.12,3.35,5.47,0.86,1.74,2.01,0.29,0.25,0.58
1354,2018,30,MS,4,3.48,0.1,4.29,1.86,5.75,6.16,3.44,5.71,0.88,1.66,1.96,0.32,0.24,0.62
1355,2018,31,MS,4,3.44,0.1,4.2,1.84,5.46,5.79,3.42,5.41,0.74,1.74,1.9,0.23,0.28,0.53
1356,2018,32,MS,4,3.35,0.05,4.27,1.93,5.25,5.94,3.2,4.88,0.77,1.62,1.85,0.24,0.26,0.54
1357,2018,33,MS,4,3.67,0.11,5.07,2.22,5.2,5.72,3.1,4.91,0.78,1.7,1.97,0.26,0.24,0.57
1358,2018,34,MS,4,4.04,0.14,5.96,2.69,5.26,5.55,3.21,4.99,0.81,1.73,1.9,0.28,0.28,0.6
1359,2018,35,MS,4,4.09,0.13,6.12,2.68,5.11,5.63,3.14,4.7,0.81,1.67,1.77,0.26,0.28,0.56
1360,2018,36,MS,4,3.81,0.11,6.14,2.44,5.09,5.61,3.28,4.79,0.89,1.69,1.71,0.32,0.26,0.56
1361,2018,37,MS,4,3.77,0.11,5.89,2.29,5.22,5.92,3.26,4.97,0.91,1.72,1.79,0.26,0.23,0.62
1362,2018,38,MS,4,3.85,0.12,6.02,2.48,5.36,6.11,3.37,4.8,0.94,1.82,1.82,0.3,0.27,0.63
1363,2018,39,MS,4,3.79,0.13,6.25,2.4,5.3,5.88,3.48,4.87,0.94,1.72,1.77,0.33,0.25,0.57
1364,2018,40,MS,4,3.96,0.13,6.16,2.5,5.24,6.12,3.45,5.04,0.91,1.7,1.78,0.29,0.26,0.61
1365,2018,41,MS,4,3.89,0.14,6.34,2.56,5.26,5.97,3.49,4.97,0.89,1.76,1.84,0.28,0.25,0.59
1366,2018,42,MS,4,3.86,0.1,6.75,2.54,5.19,6.18,3.41,4.85,0.89,1.74,1.74,0.28,0.24,0.61
1367,2018,43,MS,4,4.35,0.13,7.51,2.7,5.25,6.05,3.45,4.85,0.89,1.78,1.75,0.33,0.25,0.6
1368,2018,44,MS,4,4.29,0.14,7.62,2.88,5.07,5.7,3.47,4.76,0.93,1.66,1.73,0.32,0.31,0.66
1369,2018,45,MS,4,4.19,0.14,7.98,3.04,5.07,5.66,3.37,4.56,0.86,1.75,1.71,0.31,0.21,0.52
1370,2018,46,MS,4,4.36,0.12,9.21,3.16,4.97,5.38,3.49,4.72,0.91,1.67,1.65,0.32,0.29,0.52
1371,2018,47,MS,4,4.54,0.14,9.83,3.33,4.98,5.21,3.71,4.92,0.86,1.81,1.68,0.22,0.24,0.47
1372,2018,48,MS,4,4.5,0.1,9.3,3.2,5.34,5.78,3.54,4.72,0.9,1.8,1.73,0.29,0.25,0.51
1373,2018,49,MS,4,4.34,0.14,9.37,3.08,5.1,5.51,3.46,4.52,0.85,1.78,1.73,0.29,0.31,0.56
1374,2018,50,MS,4,4.42,0.19,9.03,3.21,4.95,5.37,3.63,4.71,0.82,1.74,1.6,0.25,0.26,0.46
1375,2018,51,MS,4,4.41,0.16,9.63,3.35,4.96,5.16,3.77,4.77,0.82,1.75,1.72,0.24,0.23,0.43
1376,2018,52,MS,4,4.71,0.14,11.29,3.71,5.36,5.35,4.43,5.26,0.85,1.91,1.74,0.26,0.24,0.45
1377,2019,1,MS,4,4.37,0.17,10.15,3.18,5.92,5.96,4.0,5.21,0.97,2.19,1.91,0.25,0.2,0.5
1378,2018,1,MO,7,6.88,0.29,14.28,3.57,5.31,5.59,4.33,5.67,0.84,1.72,1.78,0.26,0.21,0.42
1379,2018,2,MO,7,6.86,0.3,13.41,3.25,5.21,5.97,4.08,5.43,0.84,1.73,1.79,0.28,0.23,0.47
1380,2018,3,MO,7,7.11,0.33,13.04,3.14,5.29,6.16,4.02,5.38,0.87,1.76,1.87,0.29,0.24,0.47
1381,2018,4,MO,7,7.28,0.33,13.04,3.17,5.21,6.64,4.05,5.58,0.92,1.77,1.92,0.3,0.26,0.53
1382,2018,5,MO,7,7.71,0.33,13.38,3.22,5.16,6.74,4.22,5.7,0.87,1.79,1.81,0.34,0.24,0.51
1383,2018,6,MO,7,7.33,0.32,12.86,3.43,5.11,6.38,4.58,5.88,0.89,1.95,1.87,0.31,0.23,0.51
1384,2018,7,MO,7,6.5,0.32,11.25,3.17,5.21,6.02,4.12,5.3,0.91,1.88,1.85,0.31,0.24,0.52
1385,2018,8,MO,7,5.26,0.23,9.04,2.76,5.17,5.83,3.81,5.35,0.89,1.88,1.91,0.3,0.25,0.51
1386,2018,9,MO,7,4.5,0.2,7.77,2.64,5.05,5.95,3.43,5.09,0.92,1.83,1.9,0.3,0.26,0.54
1387,2018,10,MO,7,4.3,0.17,7.16,2.64,4.95,5.82,3.42,5.22,0.85,1.71,1.86,0.29,0.24,0.51
1388,2018,11,MO,7,4.14,0.16,6.91,2.57,4.85,5.71,3.49,5.27,0.85,1.7,1.86,0.31,0.24,0.52
1389,2018,12,MO,7,4.11,0.15,6.75,2.6,4.93,5.84,3.51,5.42,0.85,1.75,1.88,0.29,0.25,0.54
1390,2018,13,MO,7,3.79,0.13,6.44,2.52,5.0,5.7,3.35,5.27,0.86,1.73,1.83,0.29,0.26,0.48
1391,2018,14,MO,7,3.88,0.14,6.07,2.55,5.05,5.75,3.34,5.32,0.86,1.64,1.82,0.31,0.25,0.54
1392,2018,15,MO,7,3.76,0.14,5.8,2.37,5.02,5.57,3.23,5.25,0.85,1.61,1.96,0.28,0.25,0.54
1393,2018,16,MO,7,3.66,0.13,5.6,2.4,4.9,5.6,3.22,5.54,0.84,1.6,1.93,0.29,0.24,0.56
1394,2018,17,MO,7,3.8,0.13,5.36,2.27,4.85,5.87,3.16,5.18,0.79,1.55,1.87,0.32,0.25,0.55
1395,2018,18,MO,7,3.69,0.12,5.12,2.17,4.65,5.47,3.05,5.06,0.83,1.46,1.8,0.28,0.24,0.52
1396,2018,19,MO,7,3.59,0.11,4.91,2.11,4.59,5.46,2.94,5.16,0.8,1.4,1.85,0.25,0.21,0.51
1397,2018,20,MO,7,3.97,0.09,4.7,2.04,4.61,5.2,2.9,4.99,0.78,1.84,1.82,0.27,0.22,0.5
1398,2018,21,MO,7,3.66,0.09,4.82,2.16,4.83,5.32,3.08,5.12,0.77,1.49,1.88,0.25,0.22,0.49
1399,2018,22,MO,7,3.65,0.1,4.81,2.12,4.82,5.44,3.19,5.35,0.8,1.54,1.94,0.23,0.22,0.51
1400,2018,23,MO,7,3.65,0.11,4.69,2.01,4.93,5.76,3.2,5.46,0.81,1.57,1.99,0.29,0.24,0.54
1401,2018,24,MO,7,3.7,0.12,4.34,1.97,5.04,5.85,3.21,5.6,0.78,1.58,2.03,0.29,0.24,0.51
1402,2018,25,MO,7,3.72,0.11,4.22,1.94,5.05,5.81,3.17,5.39,0.77,1.58,2.02,0.31,0.25,0.5
1403,2018,26,MO,7,3.97,0.13,4.18,2.03,5.18,5.72,3.17,5.41,0.76,1.56,2.11,0.29,0.24,0.51
1404,2018,27,MO,7,3.84,0.09,4.03,1.98,5.02,5.74,3.19,5.74,0.75,1.55,2.13,0.26,0.23,0.52
1405,2018,28,MO,7,3.85,0.1,4.03,1.92,5.43,5.91,3.2,6.15,0.79,1.6,2.12,0.28,0.23,0.54
1406,2018,29,MO,7,4.18,0.1,4.09,1.96,5.25,5.79,3.2,5.96,0.77,1.66,2.03,0.27,0.22,0.55
1407,2018,30,MO,7,3.82,0.12,4.08,1.9,5.39,5.84,3.19,5.93,0.78,1.59,2.02,0.29,0.22,0.54
1408,2018,31,MO,7,3.61,0.12,4.0,1.87,5.31,5.69,3.09,5.64,0.78,1.55,2.08,0.3,0.25,0.55
1409,2018,32,MO,7,3.47,0.11,4.07,1.83,5.17,5.71,3.07,5.23,0.76,1.58,2.0,0.27,0.23,0.52
1410,2018,33,MO,7,3.48,0.1,4.13,1.81,5.07,5.68,2.9,5.06,0.74,1.57,2.0,0.27,0.26,0.5
1411,2018,34,MO,7,3.66,0.13,4.5,2.12,4.93,5.49,2.88,4.96,0.76,1.5,1.86,0.28,0.25,0.52
1412,2018,35,MO,7,4.01,0.12,5.48,2.51,4.93,5.51,2.98,5.09,0.77,1.49,1.85,0.29,0.26,0.51
1413,2018,36,MO,7,4.05,0.13,6.09,2.49,4.99,5.42,3.0,5.2,0.82,1.59,1.86,0.32,0.24,0.51
1414,2018,37,MO,7,4.09,0.13,6.15,2.42,5.11,5.71,3.05,5.03,0.86,1.56,1.89,0.33,0.23,0.52
1415,2018,38,MO,7,4.1,0.13,5.93,2.31,5.25,5.73,2.98,5.02,0.88,1.58,1.89,0.32,0.25,0.53
1416,2018,39,MO,7,3.91,0.15,6.27,2.22,5.02,5.62,3.05,4.97,0.87,1.6,1.82,0.31,0.24,0.53
1417,2018,40,MO,7,3.95,0.15,5.91,2.19,5.05,5.67,2.99,5.02,0.86,1.59,1.85,0.33,0.24,0.56
1418,2018,41,MO,7,4.07,0.13,6.13,2.31,5.06,5.65,3.08,4.84,0.87,1.68,1.82,0.31,0.26,0.53
1419,2018,42,MO,7,4.14,0.14,6.88,2.49,5.08,5.86,3.15,4.91,0.85,1.66,1.81,0.31,0.25,0.57
1420,2018,43,MO,7,4.43,0.15,7.56,2.58,5.21,5.91,3.23,4.82,0.88,1.69,1.89,0.33,0.28,0.57
1421,2018,44,MO,7,4.25,0.15,7.57,2.64,5.08,5.62,3.23,4.81,0.89,1.64,1.85,0.33,0.26,0.51
1422,2018,45,MO,7,4.18,0.14,7.72,2.79,5.31,5.39,3.11,4.65,0.85,1.59,1.74,0.33,0.26,0.5
1423,2018,46,MO,7,4.16,0.12,8.51,2.86,5.07,5.29,3.5,4.97,0.87,1.61,1.69,0.31,0.24,0.48
1424,2018,47,MO,7,4.21,0.14,8.38,2.89,4.79,4.94,3.51,5.1,0.79,1.67,1.69,0.27,0.25,0.43
1425,2018,48,MO,7,4.4,0.14,8.44,2.92,5.24,5.49,3.58,5.14,0.91,1.67,1.81,0.31,0.27,0.5
1426,2018,49,MO,7,4.36,0.13,8.28,2.84,5.04,5.52,3.65,5.21,0.88,1.63,1.79,0.33,0.25,0.53
1427,2018,50,MO,7,4.46,0.14,8.4,2.96,5.06,5.62,3.99,5.41,0.86,1.68,1.78,0.31,0.27,0.49
1428,2018,51,MO,7,4.73,0.18,9.17,3.2,5.0,5.15,4.12,5.53,0.8,1.73,1.78,0.28,0.22,0.45
1429,2018,52,MO,7,5.18,0.19,11.1,3.64,5.4,5.32,4.98,6.36,0.91,1.8,1.82,0.25,0.22,0.43
1430,2019,1,MO,7,5.05,0.17,10.69,3.39,5.88,6.04,4.63,6.35,0.91,2.05,2.03,0.28,0.21,0.48
1431,2018,1,MT,8,4.83,0.16,8.92,2.87,5.2,5.25,3.69,5.29,0.66,1.61,1.85,0.32,0.17,0.38
1432,2018,2,MT,8,4.98,0.21,8.31,2.74,4.8,5.65,3.4,5.06,0.72,1.55,1.88,0.23,0.21,0.35
1433,2018,3,MT,8,5.61,0.25,9.27,2.72,4.99,5.69,3.56,5.05,0.76,1.47,1.84,0.21,0.11,0.37
1434,2018,4,MT,8,6.35,0.23,10.72,2.83,5.0,5.99,3.65,5.02,0.83,1.45,1.84,0.21,0.15,0.47
1435,2018,5,MT,8,7.06,0.27,11.85,2.84,5.06,6.15,3.81,5.27,0.81,1.68,1.79,0.22,0.26,0.45
1436,2018,6,MT,8,6.57,0.27,11.14,3.08,4.87,5.57,3.91,5.37,0.92,1.81,1.86,0.22,0.2,0.43
1437,2018,7,MT,8,5.71,0.21,9.93,2.89,4.77,5.29,3.65,4.8,0.94,1.64,1.79,0.21,0.23,0.41
1438,2018,8,MT,8,6.04,0.28,9.87,2.99,4.86,5.46,3.45,4.75,0.77,1.58,1.87,0.25,0.22,0.47
1439,2018,9,MT,8,5.75,0.27,9.29,2.98,5.08,5.69,3.52,4.85,0.86,1.74,1.84,0.26,0.15,0.57
1440,2018,10,MT,8,5.47,0.23,8.7,2.65,4.94,5.66,3.2,4.73,0.84,1.56,1.96,0.25,0.24,0.48
1441,2018,11,MT,8,4.89,0.29,8.0,2.67,4.89,5.52,3.3,4.83,0.84,1.45,1.95,0.2,0.23,0.41
1442,2018,12,MT,8,4.76,0.24,7.78,2.69,4.9,5.78,3.18,5.05,0.87,1.48,2.02,0.27,0.24,0.45
1443,2018,13,MT,8,4.12,0.18,6.81,2.49,4.72,5.67,3.34,5.02,0.77,1.51,1.89,0.22,0.26,0.42
1444,2018,14,MT,8,4.07,0.06,6.25,2.56,4.86,5.78,3.26,5.01,0.73,1.56,1.77,0.31,0.22,0.41
1445,2018,15,MT,8,4.14,0.12,5.67,2.23,5.15,5.62,3.0,4.91,0.8,1.6,2.06,0.26,0.29,0.53
1446,2018,16,MT,8,4.05,0.1,5.8,2.25,4.67,5.5,2.98,5.18,0.88,1.48,1.81,0.23,0.25,0.52
1447,2018,17,MT,8,4.15,0.1,5.22,2.33,4.65,5.98,3.1,5.12,0.75,1.34,1.9,0.28,0.18,0.57
1448,2018,18,MT,8,3.62,0.14,5.22,2.23,4.49,5.29,3.02,5.16,0.8,1.47,1.77,0.22,0.18,0.48
1449,2018,19,MT,8,3.67,0.11,4.61,2.11,4.6,5.54,3.16,5.2,0.68,1.4,1.86,0.25,0.24,0.51
1450,2018,20,MT,8,3.67,0.13,4.56,2.08,4.84,5.33,2.97,4.95,0.67,1.71,1.69,0.21,0.21,0.48
1451,2018,21,MT,8,3.71,0.13,4.78,2.14,4.6,5.32,2.87,4.86,0.74,1.3,1.85,0.32,0.26,0.5
1452,2018,22,MT,8,3.68,0.09,4.57,2.07,4.34,5.22,2.88,4.84,0.7,1.3,1.77,0.27,0.26,0.49
1453,2018,23,MT,8,3.54,0.1,4.4,1.94,4.51,5.32,2.86,5.09,0.86,1.42,1.85,0.23,0.22,0.46
1454,2018,24,MT,8,3.55,0.11,4.54,1.84,4.57,5.67,3.02,5.15,0.79,1.43,1.87,0.28,0.17,0.45
1455,2018,25,MT,8,3.35,0.07,4.21,1.77,4.42,5.59,2.72,4.87,0.7,1.34,1.85,0.2,0.15,0.52
1456,2018,26,MT,8,3.88,0.15,4.16,2.07,4.74,5.51,3.0,5.04,0.77,1.32,1.83,0.17,0.22,0.49
1457,2018,27,MT,8,3.66,0.12,3.8,1.82,4.41,5.15,3.07,4.99,0.67,1.31,1.83,0.26,0.21,0.57
1458,2018,28,MT,8,3.44,0.13,3.61,1.64,4.63,5.4,3.09,5.81,0.74,1.34,1.93,0.21,0.17,0.42
1459,2018,29,MT,8,4.06,0.08,3.69,1.66,4.46,5.4,3.25,5.94,0.73,1.28,2.07,0.33,0.15,0.44
1460,2018,30,MT,8,3.7,0.12,3.54,1.72,4.51,5.44,3.34,5.87,0.65,1.33,1.94,0.26,0.18,0.45
1461,2018,31,MT,8,3.46,0.11,3.33,1.54,4.56,5.27,3.07,5.73,0.68,1.38,2.05,0.22,0.24,0.45
1462,2018,32,MT,8,3.31,0.07,3.27,1.6,4.61,5.31,3.06,5.22,0.69,1.23,2.09,0.3,0.28,0.37
1463,2018,33,MT,8,3.19,0.17,3.49,1.59,4.46,5.24,3.02,5.17,0.69,1.22,1.94,0.31,0.2,0.43
1464,2018,34,MT,8,3.25,0.1,3.62,1.57,4.52,5.2,2.95,4.82,0.7,1.3,1.83,0.24,0.22,0.38
1465,2018,35,MT,8,3.41,0.07,3.94,1.81,4.65,5.08,2.98,4.59,0.68,1.33,1.86,0.26,0.19,0.41
1466,2018,36,MT,8,3.53,0.06,4.73,2.16,4.39,5.04,3.05,4.68,0.65,1.41,1.78,0.29,0.24,0.41
1467,2018,37,MT,8,3.61,0.1,5.25,2.17,4.66,5.1,3.29,4.84,0.74,1.45,1.75,0.26,0.24,0.44
1468,2018,38,MT,8,3.67,0.16,5.62,2.18,4.71,5.27,3.35,4.96,0.76,1.39,1.77,0.33,0.22,0.45
1469,2018,39,MT,8,3.59,0.08,7.15,2.31,4.84,5.2,3.38,4.83,0.72,1.45,1.62,0.17,0.1,0.42
1470,2018,40,MT,8,3.93,0.14,6.73,2.19,4.92,5.06,3.25,4.79,0.79,1.44,1.74,0.19,0.18,0.38
1471,2018,41,MT,8,4.12,0.1,6.81,2.33,4.77,5.4,3.38,4.67,0.72,1.51,1.68,0.27,0.21,0.58
1472,2018,42,MT,8,4.03,0.14,6.54,2.3,5.07,5.65,3.38,4.99,0.79,1.46,1.85,0.32,0.19,0.46
1473,2018,43,MT,8,4.08,0.23,6.59,2.34,5.09,5.73,3.59,5.12,0.78,1.43,1.76,0.34,0.27,0.54
1474,2018,44,MT,8,3.92,0.15,6.5,2.34,5.03,5.29,3.6,5.16,0.79,1.46,1.72,0.3,0.25,0.52
1475,2018,45,MT,8,3.98,0.11,6.52,2.43,4.82,5.26,3.38,4.99,0.72,1.41,1.53,0.28,0.32,0.47
1476,2018,46,MT,8,4.17,0.15,6.95,2.52,4.96,5.24,4.01,5.37,0.69,1.5,1.74,0.4,0.26,0.41
1477,2018,47,MT,8,4.16,0.16,7.06,2.51,4.7,4.88,3.63,5.36,0.72,1.51,1.8,0.28,0.29,0.48
1478,2018,48,MT,8,4.27,0.12,8.02,2.64,5.13,5.51,3.63,5.17,0.75,1.52,1.81,0.34,0.24,0.48
1479,2018,49,MT,8,4.26,0.15,8.11,2.62,4.68,5.28,3.79,5.16,0.77,1.37,1.8,0.22,0.26,0.48
1480,2018,50,MT,8,4.23,0.11,7.74,2.79,4.72,5.23,3.58,5.09,0.76,1.54,1.72,0.25,0.28,0.46
1481,2018,51,MT,8,4.49,0.11,7.88,3.05,4.73,5.15,3.77,5.25,0.77,1.56,1.65,0.25,0.21,0.36
1482,2018,52,MT,8,4.83,0.14,9.27,3.41,4.97,4.85,4.24,5.77,0.85,1.59,1.7,0.28,0.24,0.42
1483,2019,1,MT,8,4.65,0.16,8.96,2.93,5.37,5.66,3.98,5.49,0.78,1.74,1.91,0.3,0.27,0.39
